Query seq,Query length (nt),Hit HOT,Hit HOMD seq name,HOMD clone name,Identities (%),Mismatch,Identities (no gaps & non-AGCTU)(%),Mismatch (no gaps & non-AGCTU),Score (bits),Query Start,Subject Start,Query End,Subject End
20,300,824,824_5951 ,Bacillus anthracis | HOT_824 | Strain_Delta Ames | GB_AF155951 | Named | G | 0,100,0/300,100,0/300,542,1,321,300,620
6646,228,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/228,100,0/228,412,1,281,228,508
6664,233,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/233,100,0/233,421,1,281,233,513
6665,234,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/234,100,0/234,423,1,281,234,514
6691,240,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/240,100,0/240,434,1,281,240,520
6692,239,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/239,100,0/239,432,1,281,239,519
6693,238,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/238,100,0/238,430,1,281,238,518
6718,247,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/247,100,0/247,446,1,281,247,527
6719,248,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/248,100,0/248,448,1,281,248,528
6720,246,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/246,100,0/246,444,1,281,246,526
6722,245,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/245,100,0/245,443,1,281,245,525
6724,244,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/244,100,0/244,441,1,281,244,524
6747,222,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/222,100,0/222,401,1,281,222,502
6748,224,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/224,100,0/224,405,1,281,224,504
6750,223,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/223,100,0/223,403,1,281,223,503
6770,218,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/218,100,0/218,394,1,281,218,498
6771,216,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/216,100,0/216,390,1,281,216,496
6772,217,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/217,100,0/217,392,1,281,217,497
6797,209,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/209,100,0/209,378,1,281,209,489
6798,211,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/211,100,0/211,381,1,281,211,491
6799,208,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/208,100,0/208,376,1,281,208,488
6801,207,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/207,100,0/207,374,1,281,207,487
6802,210,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/210,100,0/210,379,1,281,210,490
6821,203,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/203,100,0/203,367,1,281,203,483
6822,200,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/200,100,0/200,361,1,281,200,480
6824,199,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/199,100,0/199,360,1,281,199,479
6825,201,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/201,100,0/201,363,1,281,201,481
6827,202,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/202,100,0/202,365,1,281,202,482
6850,279,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/279,100,0/279,504,1,281,279,559
6852,281,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/281,100,0/281,508,1,281,281,561
6853,280,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/280,100,0/280,506,1,281,280,560
6854,282,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/282,100,0/282,509,1,281,282,562
6876,289,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/289,100,0/289,522,1,281,289,569
6877,291,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/291,100,0/291,526,1,281,291,571
6878,290,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/290,100,0/290,524,1,281,290,570
6881,288,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/288,100,0/288,520,1,281,288,568
6903,265,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/265,100,0/265,479,1,281,265,545
6904,263,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/263,100,0/263,475,1,281,263,543
6906,264,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/264,100,0/264,477,1,281,264,544
6922,270,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/270,100,0/270,488,1,281,270,550
6923,274,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/274,100,0/274,495,1,281,274,554
6925,271,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/271,100,0/271,489,1,281,271,551
6927,269,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/269,100,0/269,486,1,281,269,549
6968,289,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.2,8/289,97.2,8/289,486,1,281,289,569
6970,292,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.3,8/292,97.3,8/292,491,1,281,292,572
6972,294,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.3,8/294,97.3,8/294,495,1,281,294,574
6987,239,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.1,7/239,97.1,7/239,399,1,281,239,519
6988,240,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.1,7/240,97.1,7/240,401,1,281,240,520
6989,238,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.1,7/238,97.1,7/238,398,1,281,238,518
7016,257,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,7/257,97.3,7/257,432,1,281,257,537
7018,254,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,7/254,97.2,7/254,426,1,281,254,534
7048,263,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,7/263,97.3,7/263,443,1,281,263,543
7053,262,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,7/262,97.3,7/262,441,1,281,262,542
7081,286,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/286,100,0/286,517,1,281,286,566
7082,287,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/287,100,0/287,518,1,281,287,567
7101,279,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.1,8/279,97.1,8/279,468,1,281,279,559
7103,278,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.1,8/278,97.1,8/278,466,1,281,278,558
7118,265,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.4,7/265,97.4,7/265,446,1,281,265,545
7119,266,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.4,7/266,97.4,7/266,448,1,281,266,546
